Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,No of Investors
22/01/2015,CORPORATE360,CONSUMER INTERNET,OTHERS,BENGALURU,GROUP OF ANGEL INVESTORS FROM US/INDIA,SEED FUNDING,200000,1
15/01/2015,WISHBERRY,CONSUMER INTERNET,OTHERS,BENGALURU,"RAJAN ANANDAN, SHANKAR MAHADEVAN, DEEP KALRA AND OTHERS",SEED FUNDING,650000,3
13/04/2015,THE PORTER,LOGISTICS TECH PLATFORM,OTHERS,MUMBAI,"KAE CAPITAL, INDIA QUOTIENT, IFMR, AND MAS FINANCIAL SERVICES LTD",SEED FUNDING,500000,4
12/05/2015,PLANCESS,ONLINE EDUCATION PLATFORM,OTHERS,MUMBAI,"RAJENDRA GOGRI, CHANDRAKANT GOGRI",SEED FUNDING,2000000,2
01/07/2015,HANDYHOME,HYPERLOCAL ELECTRONICS REPAIR SERVICE,OTHERS,MUMBAI,"BESSEMER VENTURES, KAE CAPITAL",SEED FUNDING,630000,2
10/07/2015,INFINITY ASSURANCE,WARRANTY PROGRAMS SERVICE ADMINISTRATION,OTHERS,NEW DELHI,"INDIAN ANGEL NETWORK (IAN), BEENEXT, THE CHENNAI ANGELS, SUNIL MUNJAL",SEED FUNDING,600000,4
13/01/2020,SHUTTL,TRANSPORTATION AND LOGISTICS PLATFORM,APP BASED SHUTTLE SERVICE,GURUGRAM,SUSQUEHANNA GROWTH EQUITY LLC,SERIES C,8048394,1
13/01/2020,PANDO,LOGISTICS SERVICE PROVIDER MARKETPLACE,"OPENMARKET, FREIGHT MANAGEMENT PLATFORM",CHENNAI,CHIRATAE VENTURES,SERIES A,9000000,1
10/01/2020,ZOMATO,HOSPITALITY,ONLINE FOOD DELIVERY PLATFORM,GURUGRAM,ANT FINANCIALS,PRIVATE EQUITY,150000000,1
09/01/2020,BYJU’S,ETECH,ELEARNING PLATFORM,BENGALURU,"TIGER GLOBAL MANAGEMENT, BERTELSMANN INDIA, STEADVIEW CAPITAL, LIBERTY MEDIA, MOUSSE PARTNERS, QUILVEST",PRIVATE EQUITY,200000000,6
09/01/2020,MAMAEARTH,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,RETAILER OF BABY AND TODDLER PRODUCTS,BENGALURU,"SEQUOIA CAPITAL INDIA, NORTH BASE MEDIA, AARIN CAPITAL, 3ONE4 CAPITAL, AXILOR VENTURES, KUNAL SHAH, SANDEEP TANDON",SERIES B,18358860,7
02/01/2020,HTTPS://WWW.WEALTHBUCKET.IN/,FINTECH STARTUP INCUBATION PLATFORM,ONLINE INVESTMENT MANAGEMENT PORTAL,NEW DELHI,VINOD KHATUMAL,PRE-SERIES A,3000000,1
02/01/2020,FASHOR,FASHION AND APPAREL,EMBROILED CLOTHES FOR WOMEN,MUMBAI,SPROUT VENTURE PARTNERS,SEED FUNDING,1800000,1
20/12/2019,LENSKART ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE EYEWEAR SHOPPING PORTAL,FARIDABAD,"SOFTBANK VISION FUND, LIGHTSPEED VENTURE PARTNERS, SEQUOIA CAPITAL INDIA ADVISORS, GREENOAKS CAPITAL PARTNERS",SERIES G,231000000,4
17/12/2019,HEALTHIANS,B2BFOCUSED FOODTECH STARTUP,FOOD SOLUTIONS FOR CORPORATE,BENGALURU,"PAYTM, NPTK, SABRE PARTNERS AND NEOPLUX",SERIES C,12000000,3
16/12/2019,LICIOUS,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MEAT AND SEAFOOD ORDERING STARTUP,BENGALURU,VERTEX GROWTH FUND,SERIES E,30000000,1
16/12/2019,INCRED FINANCE,FINANCE,NONBANKING FINANCIAL COMPANY,MUMBAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,DEBT FUNDING,5900000,1
14/12/2019,TRELL,VIDEO ADVERTISEMENT PLATFORM,EXPERIENCE DISCOVERY PLATFORM,BENGALURU,RUIZHENG INVESTMENT,SEED FUNDING,2000000,1
13/12/2019,RIVIGO,TECHNOLOGY,LOGISTICS SERVICES AND SOLUTIONS,GURUGRAM,"SAIF PARTNERS, SPRING CANTER INVESTMENT LTD.",SERIES F,20000000,2
